"","InstitutionCode","CollectionCode","CatalogNumber","IndividualCount","ScientificName","Family","PreparationType","Tissues","Latitude","Longitude","CoordinateUncertaintyInMeters","HorizontalDatum","Country","StateProvince","County","Island","IslandGroup","Locality","VerbatimElevation","VerbatimDepth","YearCollected","MonthCollected","DayCollected","Collector","GeorefMethod","LatLongComments","BasisOfRecord","Remarks","DateLastModified","CI","decade"
"1612","TU","Fish",37940,4,"Ictalurus punctatus","Ictaluridae",NA,NA,30.76805,-89.83083,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River between Coburn & Bogalusa Creeks; 1.5 mi. E of Bogalusa.",NA,NA,1965,7,5,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"1652","TU","Fish",38135,8,"Ictalurus punctatus","Ictaluridae",NA,NA,30.76805,-89.83083,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River between Coburn & Bogalusa Creeks, 1.5 mi. E of Bogalusa.",NA,NA,1965,8,6,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"1712","TU","Fish",38911,4,"Ictalurus punctatus","Ictaluridae",NA,NA,30.76805,-89.83083,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River between mouth of Coburn & Bogalusa Creeks, 1.5 mi. E of Bogalusa.",NA,NA,1965,10,21,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"1793","TU","Fish",40122,13,"Ictalurus punctatus","Ictaluridae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above Coburn Creek; 1.4 mi. E of Bogalusa - Stat. #1.",NA,NA,1966,3,17,"R.D. Suttkus & C.D. Barbour",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"181","TU","Fish",40616,7,"Ictalurus punctatus","Ictaluridae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above Coburn Creek; 1.4 mi. E of Bogalusa - Stat. #1.",NA,NA,1966,4,22,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"1842","TU","Fish",40967,4,"Ictalurus punctatus","Ictaluridae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above Coburn Creek, 1.4 mi. E of Bogalusa - Stat. #1.",NA,NA,1966,7,3,"R.D. Suttkus, G.E. Gunning & Tomoff",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"194","TU","Fish",42924,13,"Ictalurus punctatus","Ictaluridae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above mouth of Coburn Creek; 1.4 mi. E of Bogalusa -Fish Stat. #1.",NA,NA,1967,1,18,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"2242","TU","Fish",53049,17,"Ictalurus punctatus","Ictaluridae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above Coburn Creek, 1.5 mi. E of Bogalusa - Fish Stat. #1.",NA,NA,1968,7,18,"R.D. Suttkus, Laska & Remington",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"2252","TU","Fish",53057,15,"Ictalurus punctatus","Ictaluridae",NA,NA,30.76805,-89.83083,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River between Coburn & Bogalusa Creeks; 1.5 mi. E of Bogalusa.",NA,NA,1968,7,18,"R.D. Suttkus, Laska & Remington",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"2302","TU","Fish",53864,6,"Ictalurus punctatus","Ictaluridae",NA,NA,30.76805,-89.83083,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River between mouth of Coburn & Bogalusa Creeks; 1.5 mi. E of Bogalusa - Fish Stat. #2.",NA,NA,1968,10,23,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
