"","InstitutionCode","CollectionCode","CatalogNumber","IndividualCount","ScientificName","Family","PreparationType","Tissues","Latitude","Longitude","CoordinateUncertaintyInMeters","HorizontalDatum","Country","StateProvince","County","Island","IslandGroup","Locality","VerbatimElevation","VerbatimDepth","YearCollected","MonthCollected","DayCollected","Collector","GeorefMethod","LatLongComments","BasisOfRecord","Remarks","DateLastModified","CI","decade"
"2710","TU","Fish",157299,10,"Ictalurus punctatus","Ictaluridae",NA,NA,30.77583,-89.82722,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank opposite Coburn Creek.",NA,NA,1990,1,25,"R.D. Suttkus & J.H. Caruso",NA,NA,"PreservedSpecimen","",NA,"control","1984-1993"
"3211","TU","Fish",159967,11,"Ictalurus punctatus","Ictaluridae",NA,NA,30.77583,-89.82722,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank opposite Coburn Creek.",NA,NA,1991,1,3,"R.D. Suttkus & J.H. Caruso",NA,NA,"PreservedSpecimen","",NA,"control","1984-1993"
"391","TU","Fish",147855,17,"Ictalurus punctatus","Ictaluridae",NA,NA,30.76528,-89.83222,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank opposite Bogalusa Creek.",NA,NA,1987,1,22,"R.D. Suttkus & J.H. Caruso",NA,NA,"PreservedSpecimen","",NA,"control","1984-1993"
