"","combo","total_request"
"1","control_1954-1963",5
"2","control_1964-1973",5
"3","control_1974-1983",1
"4","control_1984-1993",5
"5","control_1994-2003",1
"6","control_2004-2013",2
"7","impact_1964-1973",5
"8","impact_1974-1983",1
"9","impact_1984-1993",2
"10","impact_1994-2003",3
"11","impact_2004-2013",1
