"","combo","total_request"
"1","control_1964-1973",2
"2","control_1974-1983",5
"3","control_1984-1993",5
"4","control_1994-2003",5
"5","control_2004-2013",3
"6","impact_1954-1963",1
"7","impact_1964-1973",5
"8","impact_1974-1983",5
"9","impact_1984-1993",5
"10","impact_1994-2003",5
"11","impact_2004-2013",5
