InstitutionCode,CollectionCode,CatalogNumber,IndividualCount,ScientificName,Family,PreparationType,Tissues,Latitude,Longitude,CoordinateUncertaintyInMeters,HorizontalDatum,Country,StateProvince,County,Island,IslandGroup,Locality,VerbatimElevation,VerbatimDepth,YearCollected,MonthCollected,DayCollected,Collector,GeorefMethod,LatLongComments,BasisOfRecord,Remarks,DateLastModified
TU,Fish,63801,1,Lepisosteus oculatus,Lepisosteidae,,,30.705,-89.84611,,,United States of America,Louisiana,Washington,,,"Pearl River just above Pools Bluff Sill, 4 mi. S of Bogalusa - Fish Stat. #5.",,,1970,7,9,"B.A. Thompson, G.E. Gunning & Cashner",,,PreservedSpecimen,,
TU,Fish,63803,17,Hybognathus nuchalis,Cyprinidae,,,30.705,-89.84611,,,United States of America,Louisiana,Washington,,,"Pearl River just above Pools Bluff Sill, 4 mi. S of Bogalusa - Fish Stat. #5.",,,1970,7,9,"B.A. Thompson, G.E. Gunning & Cashner",,,PreservedSpecimen,,
TU,Fish,63829,1,Lepomis cyanellus X megalotis,Centrarchidae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,"Pearl River just below Pools Bluff Sill, 4 mi. S of Bogalusa - Fish Stat. #6.",,,1970,7,10,"B.A. Thompson, G.E. Gunning & Cashner",,,PreservedSpecimen,,
TU,Fish,63824,10,Pimephales vigilax,Cyprinidae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,"Pearl River just below Pools Bluff Sill, 4 mi. S of Bogalusa - Fish Stat. #6.",,,1970,7,10,"B.A. Thompson, G.E. Gunning & Cashner",,,PreservedSpecimen,,
TU,Fish,63821,97,Notropis atherinoides,Cyprinidae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,"Pearl River just below Pools Bluff Sill, 4 mi. S of Bogalusa - Fish Stat. #6.",,,1970,7,10,"B.A. Thompson, G.E. Gunning & Cashner",,,PreservedSpecimen,,
TU,Fish,63831,24,Lepomis megalotis megalotis,Centrarchidae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,"Pearl River just below Pools Bluff Sill, 4 mi. S of Bogalusa - Fish Stat. #6.",,,1970,7,10,"B.A. Thompson, G.E. Gunning & Cashner",,,PreservedSpecimen,,
TU,Fish,63825,24,Ictalurus punctatus,Ictaluridae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,"Pearl River just below Pools Bluff Sill, 4 mi. S of Bogalusa - Fish Stat. #6.",,,1970,7,10,"B.A. Thompson, G.E. Gunning & Cashner",,,PreservedSpecimen,,
TU,Fish,63834,5,Micropterus salmoides salmoides,Centrarchidae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,"Pearl River just below Pools Bluff Sill, 4 mi. S of Bogalusa - Fish Stat. #6.",,,1970,7,10,"B.A. Thompson, G.E. Gunning & Cashner",,,PreservedSpecimen,,
TU,Fish,63826,5,Noturus munitus,Ictaluridae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,"Pearl River just below Pools Bluff Sill, 4 mi. S of Bogalusa - Fish Stat. #6.",,,1970,7,10,"B.A. Thompson, G.E. Gunning & Cashner",,,PreservedSpecimen,,
TU,Fish,63816,318,Hybognathus nuchalis,Cyprinidae,,,30.70222,-89.84417,,,United States of America,Louisiana,Washington,,,"Pearl River just below Pools Bluff Sill, 4 mi. S of Bogalusa - Fish Stat. #6.",,,1970,7,10,"B.A. Thompson, G.E. Gunning & Cashner",,,PreservedSpecimen,,
TU,Fish,79481,17,Notropis atherinoides,Cyprinidae,,,30.77861,-89.82972,,,United States of America,Louisiana,Washington,,,Pearl River just above mouth of Coburn Creek - Fish Stat. #1.,,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79489,15,Lepomis megalotis megalotis,Centrarchidae,,,30.77861,-89.82972,,,United States of America,Louisiana,Washington,,,Pearl River just above mouth of Coburn Creek - Fish Stat. #1.,,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
