0,DATE,beg,Year,end,Month,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
47.2,d_19721201,d_1972,1972,1201,12,25.7,13.5,3.4,1.1,0,0,27.1,15.7,5.8,3.4,1.5
44.7,d_19730101,d_1973,1973,0101,01,9.8,3.1,0.5,0,0,0,45.5,31.3,8.6,3.5,1.3
50.5,d_19730201,d_1973,1973,0201,02,13.7,5.7,1.2,0.5,0.2,0,35.8,20.2,6.6,2.9,0.7
42.4,d_19730301,d_1973,1973,0301,03,7.5,3.1,0.3,0,0,0,50,30.8,8.4,3.2,0.4
16,d_19730401,d_1973,1973,0401,04,3.4,2.2,0.6,0.2,0,0,80.6,61.6,23.8,9.2,1.8
12.3,d_19730501,d_1973,1973,0501,05,3.9,2.4,0.2,0,0,0,83.9,74.6,49.5,27.7,6
6.3,d_19730601,d_1973,1973,0601,06,2.2,0.6,0,0,0,0,91.5,87.4,70.7,46.7,17.1
9.7,d_19730701,d_1973,1973,0701,07,0.1,0,0,0,0,0,90.1,84.5,64.3,40.3,12.2
19.1,d_19730801,d_1973,1973,0801,08,0.2,0,0,0,0,0,80.8,73.3,46.5,24.8,6.8
24.3,d_19730901,d_1973,1973,0901,09,1.7,0.2,0,0,0,0,73.9,60,27.4,11.4,2.4
30.8,d_19731001,d_1973,1973,1001,10,8.5,3.2,0,0,0,0,60.6,43.3,15.2,5.8,1.3
31.5,d_19731101,d_1973,1973,1101,11,15.9,8.5,1.7,0.3,0,0,52.6,40.6,21.1,10.6,2.5
41.5,d_19731201,d_1973,1973,1201,12,9.5,3.2,0.2,0,0,0,49,32.4,11.8,5.3,0.4
40,d_19740101,d_1974,1974,0101,01,20.4,11.6,3,1.1,0,0,39.5,27.6,14,6.9,1
45.9,d_19740201,d_1974,1974,0201,02,22.2,13.7,3.1,1.6,0.3,0,32.1,21.4,9.1,4.3,0.5
46,d_19740301,d_1974,1974,0301,03,39.2,19.8,3.6,0.8,0,0,14.7,10.7,4.5,1.6,0
52.8,d_19740401,d_1974,1974,0401,04,27.3,15.5,4.4,1.9,0.2,0,19.9,14.3,8.3,5.2,1.2
56.9,d_19740501,d_1974,1974,0501,05,17.7,13.2,5.1,2.1,0.6,0,25.2,16.4,9.4,5.1,0.9
58.1,d_19740601,d_1974,1974,0601,06,12.7,5.7,1.1,0.2,0,0,29.1,17.3,8.5,4.2,1.1
60.6,d_19740701,d_1974,1974,0701,07,7.3,2.5,0.3,0,0,0,32.2,18.7,6.8,3.3,0.3
40.7,d_19740801,d_1974,1974,0801,08,6.2,2.5,0.7,0.2,0,0,53.3,34,13.9,6.2,1.5
47.1,d_19740901,d_1974,1974,0901,09,6.2,4,1.1,0,0,0,46.8,26.9,9.8,4.7,0.6
62.4,d_19741001,d_1974,1974,1001,10,15.7,7.6,2.9,1.3,0.1,0,22,11.2,1.3,0,0
56.5,d_19741101,d_1974,1974,1101,11,22.6,10.2,2,0.4,0,0,20.8,12.1,2.1,0.2,0
57.2,d_19741201,d_1974,1974,1201,12,10.3,5.3,1,0.2,0,0,32.5,19.6,8.5,2.9,0
47.2,d_19750101,d_1975,1975,0101,01,7.2,4.1,0.6,0,0,0,45.6,27.4,7.9,2.8,0.1
49.7,d_19750201,d_1975,1975,0201,02,7.3,3.6,0.2,0,0,0,43,24.9,8.3,3.9,1.4
24.8,d_19750301,d_1975,1975,0301,03,13.7,9.8,3.8,1,0.2,0,61.4,45.3,15.1,6.2,1.5
13.9,d_19750401,d_1975,1975,0401,04,13.1,11.7,8,5.3,1.7,0,72.9,58.8,22.8,11.3,4
15.1,d_19750501,d_1975,1975,0501,05,13,10.4,3.7,0.8,0.2,0,72,57.5,22.5,9.6,1.9
23.9,d_19750601,d_1975,1975,0601,06,13.3,9.9,3.5,1,0.1,0,62.9,44.2,17,5.2,0.1
9.3,d_19750701,d_1975,1975,0701,07,8.1,3.8,0.9,0.1,0,0,82.7,74.5,49.3,32.2,11.3
13,d_19750801,d_1975,1975,0801,08,9.2,4.8,1.1,0.3,0,0,77.8,69.2,47.1,29,10.8
11.6,d_19750901,d_1975,1975,0901,09,6.9,3.3,0.6,0.2,0,0,81.4,75.6,55,36.1,15.4
20.5,d_19751001,d_1975,1975,1001,10,3.5,1.4,0.4,0.1,0,0,76,69.6,49.6,32.5,14.7
22.1,d_19751101,d_1975,1975,1101,11,4.5,1.8,0.5,0.1,0,0,73.5,65.2,41.9,27.2,11.9
28.4,d_19751201,d_1975,1975,1201,12,3.3,1.4,0.3,0,0,0,68.3,52.7,27.7,17.9,10.4
30.9,d_19760101,d_1976,1976,0101,01,5.3,2,0.2,0,0,0,63.8,47.9,22.6,13.2,5.6
50.4,d_19760201,d_1976,1976,0201,02,17.8,7.3,1.6,0.5,0,0,31.6,20.7,9.4,5,2
40.3,d_19760301,d_1976,1976,0301,03,20,10.7,2.4,1.2,0.3,0,39.9,31,16.8,9.8,2.7
28.5,d_19760401,d_1976,1976,0401,04,53.2,35.9,9.5,4.2,1.2,0,18.4,10.7,1.8,0.3,0
58.4,d_19760501,d_1976,1976,0501,05,7.9,2.5,0.1,0,0,0,33.8,21.1,6.5,1.5,0.1
53.8,d_19760601,d_1976,1976,0601,06,18.9,10.4,2.1,0.2,0,0,27.2,12.7,0.8,0.1,0
55.1,d_19760701,d_1976,1976,0701,07,36.3,22.3,6.9,2.7,0.2,0,8.6,2.4,0.1,0,0
48.4,d_19760801,d_1976,1976,0801,08,42.4,28.1,13.7,7.5,1.8,0,9,2.6,0.2,0,0
50.6,d_19760901,d_1976,1976,0901,09,38.3,28,12.5,6.3,1.4,0,11,3.7,0.3,0.1,0
52.6,d_19761001,d_1976,1976,1001,10,28,17.4,6.8,2.6,0.1,0,19.5,7.3,1,0.2,0
33.3,d_19761101,d_1976,1976,1101,11,17.5,11.7,3.8,1.2,0,0,49.2,33.8,9.6,3.3,0.4
38.1,d_19761201,d_1976,1976,1201,12,19.1,9.1,1.6,0.3,0,0,42.8,31.1,14.5,7.1,1.8
40.6,d_19770101,d_1977,1977,0101,01,5.6,1.7,0,0,0,0,53.8,40.9,22.2,13.3,4.7
51.8,d_19770201,d_1977,1977,0201,02,30.1,15.3,2.7,1.1,0.1,0,18.2,9.4,1.8,0.6,0
53.5,d_19770301,d_1977,1977,0301,03,21.2,11.7,3.3,1,0,0,25.1,12.6,0.9,0,0
56.8,d_19770401,d_1977,1977,0401,04,16.5,10.3,2.8,0.1,0,0,26.8,12.6,0.5,0,0
61.4,d_19770501,d_1977,1977,0501,05,12,7.1,1.4,0.3,0,0,26.6,9.4,0,0,0
72.5,d_19770601,d_1977,1977,0601,06,18.9,11.5,5.7,2.6,0.2,0,8.5,1.6,0,0,0
48.7,d_19770701,d_1977,1977,0701,07,49.2,29.3,11.8,6.7,3.3,0,2.1,0,0,0,0
38.5,d_19770801,d_1977,1977,0801,08,59.9,37.6,12.2,5.8,2.1,0,1.6,0,0,0,0
33,d_19770901,d_1977,1977,0901,09,56.8,38.2,12.5,5.2,1.8,0,10.1,4.7,0.2,0,0
35.4,d_19771001,d_1977,1977,1001,10,50.2,36.5,13.9,6,2.8,0,14.4,10,2.9,0.5,0
39.3,d_19771101,d_1977,1977,1101,11,31.4,19.6,6.2,3.8,1.5,0,29.2,20.8,11.6,6.5,1
46.9,d_19771201,d_1977,1977,1201,12,33.6,17.9,3.5,1,0.1,0,19.5,10.6,1.3,0.3,0
48.5,d_19780101,d_1978,1978,0101,01,6.8,2,0.1,0,0,0,44.8,22.5,3.6,0.5,0
63.1,d_19780201,d_1978,1978,0201,02,6.4,1.2,0,0,0,0,30.6,11.9,1.1,0.2,0
51.8,d_19780301,d_1978,1978,0301,03,4.5,1.2,0,0,0,0,43.7,22.3,4.6,0.7,0.1
45.4,d_19780401,d_1978,1978,0401,04,3.5,0.6,0,0,0,0,51,33.7,15.4,7.7,1.7
35.6,d_19780501,d_1978,1978,0501,05,0,0,0,0,0,0,64.4,39.7,17.8,10.8,4
54.6,d_19780601,d_1978,1978,0601,06,0.6,0,0,0,0,0,44.6,28.9,15.1,11.6,6.3
37.7,d_19780701,d_1978,1978,0701,07,12.8,4.2,0.5,0,0,0,49.5,35.5,15.2,7.5,0.5
40.5,d_19780801,d_1978,1978,0801,08,23.3,14.3,5.1,2.1,0.3,0,36.2,21.6,8.1,3.2,0.3
51,d_19780901,d_1978,1978,0901,09,33.6,19.8,5.2,1.4,0,0,15.5,9.2,1.8,0.7,0
29.8,d_19781001,d_1978,1978,1001,10,68.4,51.4,27.6,14.3,3.7,0,1.8,0.3,0,0,0
38.8,d_19781101,d_1978,1978,1101,11,54.7,41,13.2,4,0.2,0,6.4,1.6,0.2,0,0
45.1,d_19781201,d_1978,1978,1201,12,49.6,30.1,8.5,2.2,0.2,0,5.4,1.9,0.3,0.1,0
52.1,d_19790101,d_1979,1979,0101,01,27.4,15.4,3.6,0.7,0,0,20.6,9.1,1,0.2,0
59.7,d_19790201,d_1979,1979,0201,02,25.7,12.1,2.1,0.1,0,0,14.6,5.2,0.6,0.2,0
63.4,d_19790301,d_1979,1979,0301,03,25.2,10,2.6,0.8,0,0,11.4,3.7,0.5,0.2,0
54.6,d_19790401,d_1979,1979,0401,04,9.7,4.7,0.6,0.1,0,0,35.7,21.8,5.5,1.7,0
50.7,d_19790501,d_1979,1979,0501,05,0.8,0.1,0,0,0,0,48.5,24.3,6.8,2.7,0.1
40.6,d_19790601,d_1979,1979,0601,06,0.6,0.1,0,0,0,0,59,35.3,10,3.9,1.1
19.9,d_19790701,d_1979,1979,0701,07,0.9,0.3,0,0,0,0,79.3,61.3,25.5,12.4,3.2
30.1,d_19790801,d_1979,1979,0801,08,1.8,0.7,0,0,0,0,68.1,47.1,21.3,13.4,5.3
6.8,d_19790901,d_1979,1979,0901,09,0.1,0,0,0,0,0,93.1,83.7,55.6,34,14.6
25.9,d_19791001,d_1979,1979,1001,10,1.7,0.7,0,0,0,0,72.4,56.1,27.2,14.1,4.7
28.3,d_19791101,d_1979,1979,1101,11,2.3,0.3,0,0,0,0,69.3,55.8,29,18.6,8.8
28.6,d_19791201,d_1979,1979,1201,12,0.9,0,0,0,0,0,70.5,50.7,22.3,11.2,3.9
36.3,d_19800101,d_1980,1980,0101,01,5.6,2,0.4,0.1,0,0,58,38.1,10.2,3.4,0.3
60.4,d_19800201,d_1980,1980,0201,02,17.6,6.6,1.1,0.3,0,0,21.9,9.9,1.6,0.3,0
22.7,d_19800301,d_1980,1980,0301,03,0.4,0,0,0,0,0,76.8,51.5,23.1,13.4,5
18.8,d_19800401,d_1980,1980,0401,04,0,0,0,0,0,0,81.1,55.1,23.5,14.7,5.7
6.6,d_19800501,d_1980,1980,0501,05,0,0,0,0,0,0,93.2,75.1,34.9,21.2,8.5
48.2,d_19800601,d_1980,1980,0601,06,9.3,3.5,0.1,0,0,0,42.6,25.8,11.4,5.3,0.6
51.5,d_19800701,d_1980,1980,0701,07,10.5,3.7,0.5,0.1,0,0,38,24.2,11.5,5.8,0
44,d_19800801,d_1980,1980,0801,08,36.2,23.6,8.8,5.1,1.9,0,19.8,12.7,3.1,0,0
39.9,d_19800901,d_1980,1980,0901,09,28.2,17,7.6,4.3,1.2,0,32,23.3,9,1.1,0
34.9,d_19801001,d_1980,1980,1001,10,32.6,23.5,10.7,5.6,2.2,0,32.3,24.3,10.1,1.9,0
35.2,d_19801101,d_1980,1980,1101,11,24.1,16.3,6.4,3.1,1.2,0,40.7,30.3,17.5,8.3,1.3
28.2,d_19801201,d_1980,1980,1201,12,65.4,52.1,28.8,17.6,7.1,0,6.4,1.1,0,0,0
5.3,d_19810101,d_1981,1981,0101,01,94.5,87.1,61.2,44.7,23.8,0,0.1,0,0,0,0
4.2,d_19810201,d_1981,1981,0201,02,95.3,91.2,73.2,52.5,24.8,0,0.4,0.2,0,0,0
5.9,d_19810301,d_1981,1981,0301,03,93.7,89.1,63.2,42.5,18.1,0,0.4,0.1,0,0,0
4.5,d_19810401,d_1981,1981,0401,04,95.5,89.5,59.2,34.4,13.8,0,0,0,0,0,0
8.6,d_19810501,d_1981,1981,0501,05,91.4,73.3,24.4,11.7,1.7,0,0,0,0,0,0
5.4,d_19810601,d_1981,1981,0601,06,94.6,84,44.6,22.6,4.7,0,0,0,0,0,0
3.3,d_19810701,d_1981,1981,0701,07,96.7,91.5,64.9,39.4,13.7,0,0,0,0,0,0
9.6,d_19810801,d_1981,1981,0801,08,89.3,82.1,56.9,33.4,12.8,0,1.1,0.1,0,0,0
8,d_19810901,d_1981,1981,0901,09,91.3,79,35.8,16.4,4.7,0,0.7,0.5,0,0,0
28.8,d_19811001,d_1981,1981,1001,10,70.7,44.2,11.7,5.1,1.2,0,0.5,0,0,0,0
10.4,d_19811101,d_1981,1981,1101,11,89.6,74.3,33.4,16,6.1,0,0,0,0,0,0
30,d_19811201,d_1981,1981,1201,12,69,50.1,18.5,7.3,2,0,1,0,0,0,0
46.2,d_19820101,d_1982,1982,0101,01,44.9,26.6,6.7,2.5,0.6,0,9,2.9,0.2,0,0
56.6,d_19820201,d_1982,1982,0201,02,26,12.7,1.7,0.8,0.3,0,17.4,8.5,1,0.1,0
57.1,d_19820301,d_1982,1982,0301,03,30.2,12.5,0.8,0.1,0,0,12.9,5.5,0.3,0,0
66,d_19820401,d_1982,1982,0401,04,6.3,1,0,0,0,0,27.6,11.2,2.3,0.6,0
70.7,d_19820501,d_1982,1982,0501,05,12.2,3.5,0.2,0,0,0,17,7.2,1.9,0.3,0
46.6,d_19820601,d_1982,1982,0601,06,4.4,1.1,0,0,0,0,48.8,25.7,7.5,4,1.5
42.2,d_19820701,d_1982,1982,0701,07,2.7,0.7,0,0,0,0,55.1,31.7,10.7,6.4,2.9
39.8,d_19820801,d_1982,1982,0801,08,1.2,0.1,0,0,0,0,59.1,34,9.8,4.6,1.7
59,d_19820901,d_1982,1982,0901,09,7.4,2,0,0,0,0,33.6,18.8,7.9,4.6,1.9
61.1,d_19821001,d_1982,1982,1001,10,10,3.8,0.1,0,0,0,28.8,17,7.9,4.1,1.5
57.8,d_19821101,d_1982,1982,1101,11,18.5,7.5,0.6,0.1,0,0,23.8,14.8,8.3,4.5,1.3
39,d_19821201,d_1982,1982,1201,12,3,0.5,0,0,0,0,57.9,37.7,11.3,3.8,0.6
57.9,d_19830101,d_1983,1983,0101,01,4.2,1,0,0,0,0,37.9,19.2,4.6,1.5,0.2
33,d_19830201,d_1983,1983,0201,02,0.4,0,0,0,0,0,66.6,44.2,19.4,9.3,2.7
24.6,d_19830301,d_1983,1983,0301,03,0.2,0,0,0,0,0,75,57.8,23.3,10.7,3
9.6,d_19830401,d_1983,1983,0401,04,0,0,0,0,0,0,90.4,70,35.1,19.9,9.7
7.8,d_19830501,d_1983,1983,0501,05,0,0,0,0,0,0,92.2,71.6,35.2,21.1,10.4
4.6,d_19830601,d_1983,1983,0601,06,0,0,0,0,0,0,95.4,80.6,45.9,29.9,16.9
26,d_19830701,d_1983,1983,0701,07,0.2,0,0,0,0,0,73.9,59.5,28.4,17.3,9.4
37.9,d_19830801,d_1983,1983,0801,08,3.8,0.4,0,0,0,0,58.3,43.4,21.6,13.7,7.3
40.9,d_19830901,d_1983,1983,0901,09,8.8,2.5,0.1,0,0,0,50.4,34.6,16.3,8.2,3.2
47.7,d_19831001,d_1983,1983,1001,10,6.3,1.7,0,0,0,0,46,31.8,15.7,7.4,2.6
43.4,d_19831101,d_1983,1983,1101,11,9.4,3.9,0.1,0,0,0,47.2,29.6,13,6.8,2.1
35.7,d_19831201,d_1983,1983,1201,12,12.5,5.4,0.5,0.1,0,0,51.8,38.1,18.5,12.1,6.3
52.5,d_19840101,d_1984,1984,0101,01,17.8,8.3,1,0.2,0,0,29.5,17.4,6,2.4,0.7
60.8,d_19840201,d_1984,1984,0201,02,4.3,0.9,0,0,0,0,35.1,16.5,1.6,0.1,0
58.1,d_19840301,d_1984,1984,0301,03,5.9,1.7,0,0,0,0,36.1,17.6,2.4,0.9,0.2
25.1,d_19840401,d_1984,1984,0401,04,0.4,0,0,0,0,0,74.4,52.1,17.3,6.2,0.7
13.2,d_19840501,d_1984,1984,0501,05,0,0,0,0,0,0,86.8,75.4,48.2,24.8,6.5
25.2,d_19840601,d_1984,1984,0601,06,0.3,0,0,0,0,0,74.5,63.7,34.1,17.3,5.4
21.6,d_19840701,d_1984,1984,0701,07,0.6,0.2,0,0,0,0,77.6,69.3,53.3,39,16.7
33.6,d_19840801,d_1984,1984,0801,08,0.9,0.3,0,0,0,0,65.6,52.5,29,14.3,3.7
38.3,d_19840901,d_1984,1984,0901,09,23.6,10.7,1.1,0.4,0,0,38.2,22,5.2,1.4,0.1
53.7,d_19841001,d_1984,1984,1001,10,15.2,7.4,1.4,0.9,0.3,0,31.1,14.7,2.2,0.2,0
59.1,d_19841101,d_1984,1984,1101,11,17.7,9.5,1.6,0.5,0.1,0,23.2,8.1,0.2,0,0
53.1,d_19841201,d_1984,1984,1201,12,41.6,24.5,5.7,1.4,0.3,0,5.3,0.6,0,0,0
39.5,d_19850101,d_1985,1985,0101,01,58.7,42.2,16,6,1.3,0,1.8,0.3,0,0,0
30.5,d_19850201,d_1985,1985,0201,02,67.6,51.2,25.1,13.7,4.3,0,2,0.6,0,0,0
21.8,d_19850301,d_1985,1985,0301,03,77.1,59.7,27.3,13.1,3.7,0,1.1,0.3,0,0,0
11.7,d_19850401,d_1985,1985,0401,04,87.8,80.1,65.3,54.4,31,0,0.6,0.1,0,0,0
7.9,d_19850501,d_1985,1985,0501,05,92,85,61.7,40.5,12.2,0,0.1,0,0,0,0
9.8,d_19850601,d_1985,1985,0601,06,90.2,80.2,47.1,23.4,8.3,0,0,0,0,0,0
14.1,d_19850701,d_1985,1985,0701,07,85.8,64.7,22.2,7.8,1,0,0.1,0,0,0,0
30.3,d_19850801,d_1985,1985,0801,08,67.7,43.3,12.3,3.5,0.2,0,2,0.5,0,0,0
41.7,d_19850901,d_1985,1985,0901,09,56,32.1,5.7,0.8,0.1,0,2.3,0.7,0.1,0,0
58.5,d_19851001,d_1985,1985,1001,10,28.5,13.3,1.9,0.3,0,0,13,5.8,0.6,0,0
54.8,d_19851101,d_1985,1985,1101,11,21.5,9.1,1.2,0.2,0,0,23.7,10.1,1.5,0.4,0
52.7,d_19851201,d_1985,1985,1201,12,12.7,5.2,0.7,0.1,0,0,34.7,20,4.5,1.2,0.1
42.6,d_19860101,d_1986,1986,0101,01,19.3,8.9,0.5,0,0,0,38,26.2,8.1,3.3,0.7
35.8,d_19860201,d_1986,1986,0201,02,27.7,15.6,3.9,0.4,0,0,36.6,26.1,12.7,6.7,2.5
37.3,d_19860301,d_1986,1986,0301,03,27,18.9,6.6,2.2,0.1,0,35.5,23.3,9.5,4.6,0.6
32.9,d_19860401,d_1986,1986,0401,04,48.2,38.7,25.9,19.4,10.3,0,18.9,11.4,2.7,0.9,0
37.7,d_19860501,d_1986,1986,0501,05,56.3,45.4,30.2,20.3,8.4,0,6.1,1.5,0,0,0
34.8,d_19860601,d_1986,1986,0601,06,59.8,48.5,31.6,21,10.3,0,5.4,0.7,0,0,0
18.5,d_19860701,d_1986,1986,0701,07,80,71.7,54.9,45.4,30.9,0,1.6,0.4,0,0,0
18.6,d_19860801,d_1986,1986,0801,08,79,72.7,59.1,49.8,35.7,0,2.5,0.8,0,0,0
12,d_19860901,d_1986,1986,0901,09,87.3,78.2,61.6,49.8,30.6,0,0.8,0.1,0,0,0
13.5,d_19861001,d_1986,1986,1001,10,86.1,72.3,41.7,22.3,8.5,0,0.4,0,0,0,0
36.1,d_19861101,d_1986,1986,1101,11,60.2,41.9,19.5,9.5,3.7,0,3.6,0.6,0,0,0
48.9,d_19861201,d_1986,1986,1201,12,44.3,27.7,9.6,3.7,0.5,0,6.7,2.4,0.2,0,0
50.9,d_19870101,d_1987,1987,0101,01,11.5,5.9,0.6,0,0,0,37.6,21.5,5.6,2,0.3
42.1,d_19870201,d_1987,1987,0201,02,3.8,0.9,0,0,0,0,54.2,35.7,12.7,4.5,0.6
23.6,d_19870301,d_1987,1987,0301,03,0.3,0.1,0,0,0,0,76.1,54.6,23.2,9.1,2
25.9,d_19870401,d_1987,1987,0401,04,0.4,0.1,0,0,0,0,73.7,56,23,9.7,2.2
44.5,d_19870501,d_1987,1987,0501,05,1.9,1,0,0,0,0,53.7,33.7,9.3,3.1,0.5
26.3,d_19870601,d_1987,1987,0601,06,0.5,0.2,0,0,0,0,73,53.1,20.1,6.4,1.3
45,d_19870701,d_1987,1987,0701,07,5.5,1.6,0,0,0,0,49.5,30.9,9.4,3.2,0.7
50.3,d_19870801,d_1987,1987,0801,08,24.9,12.9,2.4,0.6,0.1,0,24.9,13.1,2.2,0.6,0.3
54.4,d_19870901,d_1987,1987,0901,09,21.6,12.6,2.7,0.1,0,0,24,12,2.8,0.6,0.1
36.1,d_19871001,d_1987,1987,1001,10,59.1,37.1,10.7,3.8,0.8,0,4.8,1.2,0.3,0.1,0
31.8,d_19871101,d_1987,1987,1101,11,59.7,45.6,21.8,9.4,2.8,0,8.5,4.1,0.7,0.2,0
19.5,d_19871201,d_1987,1987,1201,12,78,67,38.2,22.3,7.4,0,2.6,1.1,0.2,0.1,0
33,d_19880101,d_1988,1988,0101,01,65,44.1,14.9,5.5,1.2,0,2,0.5,0,0,0
35,d_19880201,d_1988,1988,0201,02,63.1,45.6,19.1,8,2,0,1.8,0.2,0,0,0
28.1,d_19880301,d_1988,1988,0301,03,68,54.7,35.1,23.7,9.3,0,4,1,0,0,0
39.5,d_19880401,d_1988,1988,0401,04,52.7,37.4,18.4,8.9,1.4,0,7.7,2.4,0,0,0
38.3,d_19880501,d_1988,1988,0501,05,53.5,41,22.2,12.1,1.5,0,8.1,4.1,0.4,0,0
22.9,d_19880601,d_1988,1988,0601,06,73.6,62.8,39.1,26.4,11.9,0,3.6,0.8,0,0,0
29.5,d_19880701,d_1988,1988,0701,07,65.8,53.3,30.7,14.6,3.4,0,4.7,2.7,0.2,0,0
22.1,d_19880801,d_1988,1988,0801,08,74.9,61.5,35.2,18.7,5.6,0,3,1.5,0.4,0.1,0
38.4,d_19880901,d_1988,1988,0901,09,48.8,34.5,11.7,4.6,1.2,0,12.8,7.1,1.9,0.9,0.5
39.9,d_19881001,d_1988,1988,1001,10,51.6,36.1,13,6.6,2,0,8.4,5.1,1.4,0.6,0.2
50.2,d_19881101,d_1988,1988,1101,11,39.6,20.3,6.2,2.8,0.7,0,10.3,4.3,1,0.6,0.2
43.2,d_19881201,d_1988,1988,1201,12,52,30.8,11.2,4.8,1.3,0,4.7,1.8,0.5,0.3,0
29.4,d_19890101,d_1989,1989,0101,01,64,50.4,24.7,13.2,3.6,0,6.7,2.1,0.5,0.3,0
31.3,d_19890201,d_1989,1989,0201,02,59.3,45.5,23.8,12.1,3.1,0,9.4,5.3,0.8,0,0
36.7,d_19890301,d_1989,1989,0301,03,42.6,28.6,7.3,1.5,0.1,0,20.7,11.6,3,0.4,0
51.8,d_19890401,d_1989,1989,0401,04,26.5,13.7,3.6,1.5,0.4,0,21.7,9.3,0.9,0,0
46.3,d_19890501,d_1989,1989,0501,05,27.2,14.3,5.7,4.7,2.8,0,26.3,15.5,2.7,0,0
40.3,d_19890601,d_1989,1989,0601,06,28.6,18.6,6.7,2.9,1.1,0,31.1,22.3,8.3,3.9,1.9
37.3,d_19890701,d_1989,1989,0701,07,21.4,14.9,5.5,2.2,0.3,0,41.2,28,11.8,5.6,1
45.5,d_19890801,d_1989,1989,0801,08,27.7,20.6,10.7,4.7,0.5,0,26.8,18.1,7.8,3.2,0.8
30.6,d_19890901,d_1989,1989,0901,09,18.5,12.9,5,1.9,0.6,0,50.8,39.7,21.8,13.6,3.9
22.2,d_19891001,d_1989,1989,1001,10,15.6,11.8,5.6,2.7,1.1,0,62.1,51,29,18.6,9.4
11.4,d_19891101,d_1989,1989,1101,11,12.3,8,3.5,1.6,1,0,76.2,66.1,39.2,23.9,11.2
13.1,d_19891201,d_1989,1989,1201,12,7.5,4.8,2.1,1.5,1.1,0,79.3,71.4,43.5,25.9,9.8
13.2,d_19900101,d_1990,1990,0101,01,10.5,6.9,3.6,2.1,1.4,0,76.3,70.7,52.8,37.8,19
18.5,d_19900201,d_1990,1990,0201,02,5.7,3.7,1.7,1.3,0.7,0,75.9,68.5,53.7,42.9,30.6
28.6,d_19900301,d_1990,1990,0301,03,10,4.2,1.4,1.1,0.5,0,61.5,53.3,37.6,26,9.6
37.7,d_19900401,d_1990,1990,0401,04,10.3,3.8,0.9,0.4,0,0,51.9,41.5,17.1,6.7,2.1
32.4,d_19900501,d_1990,1990,0501,05,9.2,2.9,0.2,0,0,0,58.3,49,29.1,16.1,4.3
33.4,d_19900601,d_1990,1990,0601,06,26.1,13.7,3.1,1,0.1,0,40.5,30,14.9,7.1,1.9
32.3,d_19900701,d_1990,1990,0701,07,37.8,25.5,10.1,6,1.2,0,30,21.2,10.2,4.1,0.9
41.5,d_19900801,d_1990,1990,0801,08,38.6,27.8,8.1,3.2,0.7,0,19.8,11.3,2.5,0.6,0
30.7,d_19900901,d_1990,1990,0901,09,56,46.8,30.9,20.2,9.5,0,13.2,5.5,1.2,0.1,0
42.7,d_19901001,d_1990,1990,1001,10,44.2,29.5,14.5,9,2.2,0,13.1,7,1.8,0.6,0
31.1,d_19901101,d_1990,1990,1101,11,62.9,46.9,20.9,13.5,6.9,0,6,2.5,0.5,0,0
24.9,d_19901201,d_1990,1990,1201,12,68.1,54.5,34.5,25.7,13.5,0,7,3.2,0.5,0,0
47.3,d_19910101,d_1991,1991,0101,01,33.6,21.1,8.2,2.9,1.4,0,19.3,11.2,2.3,0.3,0
40.6,d_19910201,d_1991,1991,0201,02,49,37.1,17.6,9.6,2.1,0,10.4,4.2,0.2,0,0
38.1,d_19910301,d_1991,1991,0301,03,26.8,15.4,2.3,0.6,0.1,0,35.2,26.1,8.7,1.9,0.1
37.2,d_19910401,d_1991,1991,0401,04,10.2,2.7,0,0,0,0,52.5,39.9,23.3,10.9,1.6
24.8,d_19910501,d_1991,1991,0501,05,6.3,4.4,1.7,0.2,0,0,68.8,57.5,37.9,24.5,8.5
13.2,d_19910601,d_1991,1991,0601,06,3.4,1.6,0.1,0,0,0,83.4,70.2,49.8,39,21
22.8,d_19910701,d_1991,1991,0701,07,3.8,1.5,0,0,0,0,73.3,59.5,39.5,27.5,16.2
17.3,d_19910801,d_1991,1991,0801,08,2.8,0.9,0,0,0,0,79.9,66.5,45.5,35,21.6
21.7,d_19910901,d_1991,1991,0901,09,3,0.7,0,0,0,0,75.2,63.3,42.6,32.4,17.4
38.8,d_19911001,d_1991,1991,1001,10,9.8,5.3,0.8,0.1,0,0,51.3,34.3,16.1,9.9,5
31.8,d_19911101,d_1991,1991,1101,11,7.7,4.2,0.8,0.2,0,0,60.6,43.3,18,9.4,2.9
44.6,d_19911201,d_1991,1991,1201,12,17.1,9,3.1,1.5,0.4,0,38.2,24.2,8.9,4.3,1.5
44.4,d_19920101,d_1992,1992,0101,01,20.5,12.4,3.7,1.1,0.1,0,34.9,21.1,4.8,1.2,0.2
53.6,d_19920201,d_1992,1992,0201,02,31.5,19.4,5.8,1.6,0.1,0,15,4.7,0.3,0,0
53.4,d_19920301,d_1992,1992,0301,03,37.6,23.6,6.1,0.9,0,0,9.1,3.4,0.3,0,0
39.8,d_19920401,d_1992,1992,0401,04,58.4,36.2,7.6,0.8,0,0,1.9,0.2,0,0,0
25.2,d_19920501,d_1992,1992,0501,05,74.6,48.7,16.2,5.3,0.1,0,0.3,0,0,0,0
52.1,d_19920601,d_1992,1992,0601,06,39,22.2,4.7,1.5,0,0,8.9,4,0.2,0,0
