,InstitutionCode,CollectionCode,CatalogNumber,IndividualCount,ScientificName,Family,PreparationType,Tissues,Latitude,Longitude,CoordinateUncertaintyInMeters,HorizontalDatum,Country,StateProvince,County,Island,IslandGroup,Locality,VerbatimElevation,VerbatimDepth,YearCollected,MonthCollected,DayCollected,Collector,GeorefMethod,LatLongComments,BasisOfRecord,Remarks,DateLastModified,CI,decade,IndividualFishID,Dissector_and_Examiner,DissectionDate,Sex,TotalLength_mm,StandardLength_mm,Weight_mg,NotesOnSpecimenPriorToDissection,ParasitesFound,TREM.METAGS.SKIN,myxo.thel.Skin,BuccalCavity,BodyCavity,CYST.UNK.PectoralFin,TREM.BUC.PectoralFin,TREM.METAF.PelvicFin,CYST.UNK.AnalFin,trem.buc.AnalFin,trem.buc.CaudalFin,trem.metaf.caudalfin,META.HS.CaudalFin,META.UNK.CAUDALFIN,META.UNK.DorsalFin,CYST.UNK.CaudalFin,MYXO.THEL.CaudalFin,MYXO.THEL.dorsalFIN,MYX.GO.GONAD,TREM.METAGS.Liver,TREM.MET.LIVER,META.UNK.LIVER,Spleen,TREM.MET.Kidney,TREM.METAGS.Kidney,META.UNK.EYE,CYST.LB.EYE,CYST.UNK.Eye,Heart,CYST.EMPTY.Stomach,NEM.CONA.CONNECTIVETISSUES,NEM.CYST.CONNECTIVETISSUE,TREM.MET.ConnectiveTissue,TREM.METAGS.CONNECTIVETISSUE,meta.unkn.connectivetissue,CYST.UNK.CONNECTIVETISSUES,MYX.GO.CONNECTIVETISSUE,cest.godz.intestine,CEST.VIT.INTESTINE,CEST.PEA.Intestine,TREM.MET.Intestine,meta.unkn.intestine,NEM.CONA.Intestine,TREM.METAGS.GILL,TREM.METAF.GILL,TREM.MET.GILL,META.UNK.GILL,MONO.DACT.GILL,MONO.GYRO.Gill,MYXO.THEL.GILL,MYXO.SBAD.GILL,MYXO.BC.GILL,CYST.LB.GILL,cyst.unkn.gill,CEST.L.FLUSH,TREM.METAGS.FLUSH,TREM.MET.FLUSH,WORM.A.Flush,NEM.CONA.VOUCH,NEM.CYST.VOUCH,CEST.GODZ.VOUCH,CEST.VIT.VOUCH,CEST.L.VOUCH,CEST.PEA VOUCH,TREM.METAGS.FLUSH.VOUCH,TREM.MET.VOUCH,TREM.METAF.VOUCH,TREM.METAGS.VOUCH,META.UNK.VOUCH,MONO.DACT.VOUCH,MONO.GYRN.VOUCH,MYX.GO.VOUCH,MYXO.THEL.VOUCH,MYXO.SBAD.VOUCH,MYXO.BC VOUCH,WORM.A.VOUCH,CYST.EMPTY.VOUCH,CYST.LB.VOUCH,CYST.UNK.VOUCH
,TU,,62155,32,Pimephales vigilax,,,,,,,,,,,,,Pearl River,,,1970,4,27,"Suttkus, Gunning, Thompson",,,,,,,,62155_02,SC DD,6/11/2024,F,55,46,153,no EDTA available for liver wash,,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
,TU,,62155,32,Pimephales vigilax,,,,,,,,,,,,,Pearl River,,,1970,4,27,"Suttkus, Gunning, Thompson",,,,,,,,62155_03,IJ GMC,6/11/2024,NA,51,42,154.1,no EDTA available for liver wash,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TU,,62155,32,Pimephales vigilax,,,,,,,,,,,,,Pearl River,,,1970,4,27,"Suttkus, Gunning, Thompson",,,,,,,,62155_04,DJB GMC,6/11/2024,F,33,26,23.5,no EDTA available for liver wash,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
,TU,,83913,22,Pimephales vigilax,,,,,,,,,,,,,Pearl River just above mouth of Coburn Creek,,,1973,10,16,Suttkus and Thompson,,,,,,,,83913_02,SC SC and KL,6/12/2024,NA,59,47,146.2,"1st day of EDTA, CYST.NP foudn in gills",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,TU,,83913,22,Pimephales vigilax,,,,,,,,,,,,,Pearl River just above mouth of Coburn Creek,,,1973,10,16,Suttkus and Thompson,,,,,,,,83913_04,DJB CLW,6/12/2024,NA,32,23,12.2,1st day of EDTA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,0,na,0,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TU,,101642,40,Pimephales vigilax,,,,,,,,,,,,,"Pearl River along left bank just below Sill at Pools Bluff, 4 mi S of Bogalusa",,,1977,4,13,RD Suttkus and P Sorensen,,,,,,,,101642_02,JT GMC,6/12/2024,F,63,48,261.9,1st day of EDTA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
,TU,,101642,40,Pimephales vigilax,,,,,,,,,,,,,"Pearl River along left bank just below Sill at Pools Bluff, 4 mi S of Bogalusa",,,1977,4,13,RD Suttkus and P Sorensen,,,,,,,,101642_01,DJB KL,6/12/2024,NA,69,56,343,1st day of EDTA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TU,,101642,40,Pimephales vigilax,,,,,,,,,,,,,"Pearl River along left bank just below Sill at Pools Bluff, 4 mi S of Bogalusa",,,1977,4,13,RD Suttkus and P Sorensen,,,,,,,,101642_03,DJB DMDM and DJB,6/12/2024,NA,72,64,583.6,1st day of EDTA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,TU,,101642,40,Pimephales vigilax,,,,,,,,,,,,,"Pearl River along left bank just below Sill at Pools Bluff, 4 mi S of Bogalusa",,,1977,4,13,RD Suttkus and P Sorensen,,,,,,,,101642_04,JT DMDM,6/12/2024,F,63,49,286.3,1st day of EDTA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TU,,83913,22,Pimephales vigilax,,,,,,,,,,,,,Pearl River just above mouth of Coburn Creek,,,1973,10,16,Suttkus and Thompson,,,,,,,,83913_01,DJB DMDM,6/12/2024,NA,65,51,198.4,1st day of EDTA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,2,0,0,0,0,na,na,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
