Fish species,Catalog Number,Collection date,Site,Latitude,Longitude,n fish
Gambusia affinis,171835,10/15/94,control,30.76528,-89.83222,4
Gambusia affinis,175630,7/29/95,impact,30.75417,-89.82694,4
Gambusia affinis,176893,7/10/95,control,30.7825,-89.82027,1
Gambusia affinis,176893,10/7/95,control,30.7825,-89.82027,3
Gambusia affinis,176914,10/7/95,control,30.76528,-89.83222,4
Gambusia affinis,176966,10/7/95,impact,30.70222,-89.84417,4
Gambusia affinis,177787,1/13/96,control,30.78472,-89.81944,4
Gambusia affinis,189558,10/9/99,impact,30.70389,-89.84472,4
Gambusia affinis,192399,1/13/01,impact,30.75444,-89.82722,3
Gambusia affinis,192399,1/31/01,impact,30.75444,-89.82722,1
Gambusia affinis,192761,4/28/01,impact,30.74055,-89.82694,4
Gambusia affinis,195132,4/14/03,impact,30.74195,-89.82528,4
Gambusia affinis,197042,4/24/04,control,30.76528,-89.83222,4
Gambusia affinis,197080,4/24/04,impact,30.70222,-89.84417,2
Gambusia affinis,197197,7/17/04,control,30.7825,-89.82027,4
Gambusia affinis,197233,7/17/04,control,30.76528,-89.83222,4
Gambusia affinis,197305,7/17/04,impact,30.70222,-89.84417,4
Hybognathus nuchalis,30995,12/12/63,control,30.77861,-89.82972,4
Hybognathus nuchalis,31084,2/20/64,control,30.77861,-89.82972,4
Hybognathus nuchalis,31145,6/23/63,control,30.77861,-89.82972,4
Hybognathus nuchalis,31194,5/19/63,control,30.77861,-89.82972,4
Hybognathus nuchalis,31296,12/13/63,impact,30.70222,-89.84417,4
Hybognathus nuchalis,37937,6/5/65,control,30.77861,-89.82972,4
Hybognathus nuchalis,37981,7/3/65,impact,30.70222,-89.84417,4
Hybognathus nuchalis,42915,1/6/67,impact,30.70222,-89.84417,4
Hybognathus nuchalis,43824,2/28/67,impact,30.70222,-89.84417,4
Hybognathus nuchalis,49517,12/26/67,impact,30.70222,-89.84417,4
Hybognathus nuchalis,50356,2/21/68,impact,30.70222,-89.84417,4
Hybognathus nuchalis,59432,10/28/69,control,30.77861,-89.82972,4
Hybognathus nuchalis,70490,7/15/71,control,30.77861,-89.82972,4
Hybognathus nuchalis,70511,7/15/71,impact,30.705,-89.84611,4
Hybognathus nuchalis,83907,10/16/73,control,30.77861,-89.82972,4
Hybognathus nuchalis,94576,7/2/75,control,30.77861,-89.82972,4
Hybognathus nuchalis,96931,1/22/76,control,30.76805,-89.83083,4
Hybognathus nuchalis,98428,7/16/76,control,30.77861,-89.82972,4
Hybognathus nuchalis,98486,7/16/76,impact,30.70222,-89.84417,4
Hybognathus nuchalis,100406,12/10/76,impact,30.70222,-89.84417,5
Hybognathus nuchalis,100831,1/19/77,control,30.76639,-89.83195,4
Hybognathus nuchalis,100905,1/19/77,impact,30.70222,-89.84417,4
Hybognathus nuchalis,104270,10/19/77,impact,30.70222,-89.84417,4
Hybognathus nuchalis,106828,4/20/78,control,30.76805,-89.83083,4
Hybognathus nuchalis,118314,10/23/80,impact,30.70222,-89.84417,4
Hybognathus nuchalis,132494,10/6/83,impact,30.74055,-89.82694,4
Hybognathus nuchalis,134732,4/20/84,control,30.77583,-89.82722,4
Hybognathus nuchalis,136233,7/17/84,impact,30.74055,-89.82694,4
Hybognathus nuchalis,146778,10/9/86,impact,30.70222,-89.84417,4
Hybognathus nuchalis,149280,7/14/87,control,30.77583,-89.82722,4
Hybognathus nuchalis,151705,4/14/88,impact,30.75417,-89.82694,4
Hybognathus nuchalis,156651,10/12/89,control,30.77583,-89.82722,4
Hybognathus nuchalis,156660,10/12/89,control,30.76528,-89.83222,4
Hybognathus nuchalis,156672,10/12/89,impact,30.75667,-89.82611,4
Hybognathus nuchalis,160024,1/3/91,impact,30.70222,-89.84417,4
Hybognathus nuchalis,161604,10/26/91,control,30.77583,-89.82722,4
Hybognathus nuchalis,172513,1/14/95,control,30.77861,-89.82972,4
Hybognathus nuchalis,174634,4/29/95,impact,30.76222,-89.83111,4
Hybognathus nuchalis,175623,7/29/95,impact,30.75417,-89.82694,4
Hybognathus nuchalis,184784,10/12/97,impact,30.74195,-89.82528,4
Hybognathus nuchalis,185790,4/25/98,control,30.77611,-89.82777,4
Hybognathus nuchalis,186257,7/18/98,impact,30.73694,-89.82694,3
Hybognathus nuchalis,186257,9/18/98,impact,30.73694,-89.82694,1
Hybognathus nuchalis,186646,10/10/98,control,30.77611,-89.82722,4
Hybognathus nuchalis,189549,10/9/99,impact,30.70389,-89.84472,4
Hybognathus nuchalis,190938,7/1/00,control,30.77583,-89.82722,4
Hybognathus nuchalis,192995,7/21/01,impact,30.74195,-89.82528,4
Hybognathus nuchalis,196858,1/31/04,control,30.77611,-89.82777,4
Hybognathus nuchalis,196877,1/31/04,impact,30.75444,-89.82722,4
Hybognathus nuchalis,196886,1/31/04,impact,30.74195,-89.82528,4
Hybognathus nuchalis,197038,4/24/04,control,30.76528,-89.83222,4
Hybognathus nuchalis,197056,4/24/04,impact,30.74195,-89.82528,4
Hybognathus nuchalis,197275,7/17/04,impact,30.74055,-89.82694,4
Hybognathus nuchalis,198570,7/15/05,control,30.77611,-89.82777,4
Hybognathus nuchalis,198587,7/15/05,impact,30.75444,-89.82722,4
Hybognathus nuchalis,198623,7/15/05,impact,30.70222,-89.84417,4
Ictalurus punctatus,31060,8/30/63,impact,30.76222,-89.83111,2
Ictalurus punctatus,31146,6/23/63,impact,30.75667,-89.82611,2
Ictalurus punctatus,31177,5/20/63,impact,30.75667,-89.82611,2
Ictalurus punctatus,31181,5/19/63,control,30.76805,-89.83083,1
Ictalurus punctatus,31267,7/11/63,impact,30.74,-89.82777,2
Ictalurus punctatus,31542,10/24/63,impact,30.74055,-89.82694,2
Ictalurus punctatus,31804,11/14/63,impact,30.705,-89.84611,2
Ictalurus punctatus,31808,NA,impact,30.70222,-89.84417,2
Ictalurus punctatus,37835,5/21/65,control,30.76805,-89.83083,2
Ictalurus punctatus,39300,11/19/65,impact,30.75667,-89.82611,2
Ictalurus punctatus,40125,3/17/66,impact,30.75667,-89.82611,2
Ictalurus punctatus,40616,4/22/66,control,30.77861,-89.82972,2
Ictalurus punctatus,58071,7/14/69,impact,30.75667,-89.82611,2
Ictalurus punctatus,59446,10/28/69,control,30.76805,-89.83083,2
Ictalurus punctatus,62094,4/21/70,control,30.77861,-89.82972,2
Ictalurus punctatus,63780,7/9/70,impact,30.75667,-89.82611,2
Ictalurus punctatus,68158,1/25/71,control,30.77472,-89.82806,2
Ictalurus punctatus,79538,7/12/72,impact,30.75667,-89.82611,2
Ictalurus punctatus,83744,7/11/73,impact,30.75667,-89.82611,2
Ictalurus punctatus,90827,10/29/74,impact,30.705,-89.84611,2
Ictalurus punctatus,97015,1/22/76,impact,30.74055,-89.82694,2
Ictalurus punctatus,99517,10/13/76,impact,30.705,-89.84611,2
Ictalurus punctatus,105376,12/19/77,control,30.77861,-89.82972,2
Ictalurus punctatus,108482,7/19/78,control,30.76805,-89.83083,2
Ictalurus punctatus,108500,7/19/78,impact,30.75667,-89.82611,2
Ictalurus punctatus,108551,7/19/78,impact,30.70222,-89.84417,2
Ictalurus punctatus,109076,8/29/78,control,30.77861,-89.82972,2
Ictalurus punctatus,115142,10/24/79,control,30.76805,-89.83083,2
Ictalurus punctatus,118276,10/23/80,control,30.76805,-89.83083,2
Ictalurus punctatus,124399,1/28/82,control,30.77861,-89.82972,2
Ictalurus punctatus,136244,7/17/84,impact,30.74055,-89.82694,2
Ictalurus punctatus,146787,10/9/86,impact,30.70222,-89.84417,2
Ictalurus punctatus,147855,1/22/87,control,30.76528,-89.83222,2
Ictalurus punctatus,153841,10/20/88,impact,30.70222,-89.84417,2
Ictalurus punctatus,157299,1/25/90,control,30.77583,-89.82722,2
Ictalurus punctatus,157316,1/25/90,impact,30.75667,-89.82611,2
Ictalurus punctatus,157351,1/25/90,impact,30.70222,-89.84417,2
Ictalurus punctatus,159967,1/3/91,control,30.77583,-89.82722,2
Ictalurus punctatus,160020,1/3/91,impact,30.705,-89.84611,2
Ictalurus punctatus,182143,1/4/97,impact,30.73694,-89.82694,2
Ictalurus punctatus,185384,1/24/98,impact,30.75444,-89.82722,2
Ictalurus punctatus,190279,1/8/00,control,30.77611,-89.82777,2
Ictalurus punctatus,190621,4/7/00,impact,30.75444,-89.82722,2
Ictalurus punctatus,193706,1/26/02,impact,30.74055,-89.82694,1
Ictalurus punctatus,193706,1/26/03,impact,30.74055,-89.82694,1
Ictalurus punctatus,198297,2/12/05,impact,30.74055,-89.82694,1
Notropis atherinoides,27794,2/12/65,control,30.77861,-89.82972,4
Notropis atherinoides,31124,4/26/63,impact,30.70222,-89.84417,4
Notropis atherinoides,31291,12/13/63,impact,30.70222,-89.84417,4
Notropis atherinoides,34358,9/11/64,impact,30.74055,-89.82694,4
Notropis atherinoides,34776,10/16/64,impact,30.74055,-89.82694,4
Notropis atherinoides,41867,10/17/66,impact,30.75667,-89.82611,4
Notropis atherinoides,43849,2/28/67,impact,30.70222,-89.84417,4
Notropis atherinoides,49057,12/7/67,impact,30.70222,-89.84417,4
Notropis atherinoides,49084,12/16/67,impact,30.70222,-89.84417,4
Notropis atherinoides,59435,10/28/69,control,30.77861,-89.82972,4
Notropis atherinoides,68296,1/25/71,impact,30.70222,-89.84417,4
Notropis atherinoides,72349,10/26/71,control,30.77861,-89.82972,4
Notropis atherinoides,75711,1/25/72,control,30.77861,-89.82972,4
Notropis atherinoides,79386,10/17/72,impact,30.70222,-89.84417,4
Notropis atherinoides,85342,1/14/74,impact,30.76222,-89.83111,4
Notropis atherinoides,92856,1/24/75,impact,30.70222,-89.84417,4
Notropis atherinoides,98475,7/16/76,impact,30.705,-89.84611,4
Notropis atherinoides,99452,10/13/76,control,30.77861,-89.82972,4
Notropis atherinoides,104231,10/19/77,impact,30.75361,-89.82639,4
Notropis atherinoides,106306,3/23/78,control,30.76805,-89.83083,4
Notropis atherinoides,107670,6/8/78,control,30.76805,-89.83083,4
Notropis atherinoides,115220,10/25/79,impact,30.70222,-89.84417,4
Notropis atherinoides,118284,10/23/80,impact,30.75667,-89.82611,4
Notropis atherinoides,120198,1/22/81,control,30.7825,-89.82027,3
Notropis atherinoides,123299,10/22/81,control,30.7825,-89.82806,4
Notropis atherinoides,134807,4/25/84,impact,30.70222,-89.84417,1
Notropis atherinoides,134807,4/26/84,impact,30.70222,-89.84417,3
Notropis atherinoides,136201,7/17/84,control,30.76528,-89.83222,4
Notropis atherinoides,136270,7/17/84,impact,30.70222,-89.84417,4
Notropis atherinoides,138252,10/19/84,impact,30.70222,-89.84417,4
