"","fish_psite_combo","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","Dissector_and_Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","psite_spp.x","psite_count","scaled_TL_mm","Fish_sp.x","psite_spp.y","Fish_sp.y","Life_History","Parasite_taxonomic_group"
"20","Ictalurus punctatus_ACAN.OSTR","40125","1966",3,"17","40125_02","gmc cnw kl","1/23/2024","na",68,52,NA,"impact","impact_1964-1973","30.75667","-89.82611","ACAN.OSTR",0,-0.472831428651679,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"21","Ictalurus punctatus_ACAN.OSTR","40125","1966",3,"17","40125_01","ht kl sd gmc","1/23/2024","na",91,74,NA,"impact","impact_1964-1973","30.75667","-89.82611","ACAN.OSTR",0,0.448087633622333,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"22","Ictalurus punctatus_ACAN.OSTR","40616","1966",4,"22","40616_02","JT DJB GMC","6/25/2024",NA,52,39,"902","control","control_1964-1973","30.77861","-89.82972","ACAN.OSTR",0,-1.11347077632056,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"23","Ictalurus punctatus_ACAN.OSTR","40616","1966",4,"22","40616_01","SC DJB IJ","6/25/2024",NA,110,85,"7815","control","control_1964-1973","30.77861","-89.82972","ACAN.OSTR",0,1.20884685897913,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"24","Ictalurus punctatus_ACAN.OSTR","58071","1969",7,"14","58071_01","IJ DJB CJW","6/25/2024",NA,39,31,"4650","impact","impact_1964-1973","30.75667","-89.82611","ACAN.OSTR",0,-1.63399024630152,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"25","Ictalurus punctatus_ACAN.OSTR","58071","1969",7,"14","58071_02","JT KL ","6/25/2024",NA,49,38,"911","impact","impact_1964-1973","30.75667","-89.82611","ACAN.OSTR",0,-1.23359065400847,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"26","Ictalurus punctatus_ACAN.OSTR","59446","1969",10,"28","59446_01","IJ SC KL","6/27/2024",NA,77,56,"3048","control","control_1964-1973","30.76805","-89.83083","ACAN.OSTR",0,-0.112471795587935,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"27","Ictalurus punctatus_ACAN.OSTR","59446","1969",10,"28","59446_02","JT SC","6/27/2024",NA,96,71,"5169","control","control_1964-1973","30.76805","-89.83083","ACAN.OSTR",0,0.648287429768858,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"28","Ictalurus punctatus_ACAN.OSTR","62094","1970",4,"21","62094_01","SC DMDM ","6/27/2024",NA,75,63,"3364","control","control_1964_1973","30.77861","-89.82972","ACAN.OSTR",0,-0.192551714046545,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"29","Ictalurus punctatus_ACAN.OSTR","62094","1970",4,"21","62094_02","SC DJB","6/27/2024",NA,77,62,NA,"control","control_1964_1973","30.77861","-89.82972","ACAN.OSTR",0,-0.112471795587935,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"30","Ictalurus punctatus_ACAN.OSTR","63780","1970",7,"9","63780_02","JT DJB KL","6/25/2024","M",40,37,"759","impact","impact_1964-1973","30.75667","-89.82611","ACAN.OSTR",0,-1.59395028707222,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"31","Ictalurus punctatus_ACAN.OSTR","63780","1970",7,"9","63780_01","SC DMDM","6/25/2024",NA,47,36,"701","impact","impact_1964-1973","30.75667","-89.82611","ACAN.OSTR",0,-1.31367057246708,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"32","Ictalurus punctatus_ACAN.OSTR","68158","1971",1,"25","68158_02","IJ SC GMC","6/27/2024",NA,135,114,"18436","control","control_1964-1973","30.77472","-89.82806","ACAN.OSTR",0,2.20984583971175,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"33","Ictalurus punctatus_ACAN.OSTR","68158","1971",1,"25","68158_01","JT SC DMDM","6/27/2024",NA,107,83,"7279","control","control_1964-1973","30.77472","-89.82806","ACAN.OSTR",0,1.08872698129121,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"34","Ictalurus punctatus_ACAN.OSTR","79538","1972",7,"12","79538_01","IJ SC CJW","6/27/2024",NA,79,63,"3956","impact","impact_1964-1973","30.75667","-89.82611","ACAN.OSTR",0,-0.0323918771293252,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"35","Ictalurus punctatus_ACAN.OSTR","79538","1972",7,"12","79538_02","JT SC GMC","6/27/2024",NA,52,41,"822","impact","impact_1964-1973","30.75667","-89.82611","ACAN.OSTR",0,-1.11347077632056,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"36","Ictalurus punctatus_ACAN.OSTR","83744","1973",7,"11","83744_02","JT DJB DMDM","6/25/2024",NA,62,48,"1662","impact","impact_1964-1973","30.75667","-89.82611","ACAN.OSTR",0,-0.713071184027508,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"37","Ictalurus punctatus_ACAN.OSTR","83744","1973",7,"11","83744_01","SC DJB CJW","6/25/2024",NA,51,40,"930","impact","impact_1964-1973","30.75667","-89.82611","ACAN.OSTR",0,-1.15351073554986,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"38","Ictalurus punctatus_ACAN.OSTR","90827","1974",10,"29","90827_01","JT KL","6/26/2024",NA,88,68,"4447","impact","impact_1974-1983","30.705","-89.84611","ACAN.OSTR",0,0.327967755934419,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"39","Ictalurus punctatus_ACAN.OSTR","90827","1974",10,"29","90827_02","IJ JT KL","6/26/2024","F",119,91,"10852","impact","impact_1974-1983","30.705","-89.84611","ACAN.OSTR",0,1.56920649204287,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"40","Ictalurus punctatus_ACAN.OSTR","97015","1976",1,"22","97015_01","IJ JT DMDM","6/27/2024",NA,70,50,"2400","impact","impact_1974-1983","30.74055","-89.82694","ACAN.OSTR",0,-0.392751510193069,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"41","Ictalurus punctatus_ACAN.OSTR","97015","1976",1,"22","97015_02","JT DMDM","6/27/2024",NA,80,60,"3105","impact","impact_1974-1983","30.74055","-89.82694","ACAN.OSTR",0,0.00764808209997972,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"42","Ictalurus punctatus_ACAN.OSTR","99517","1976",13,"10","99517_01","SC JT GMC","6/26/2024","",104,81,"7227","impact","impact_1974-1983","30.705","-89.84611","ACAN.OSTR",0,0.968607103603297,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"43","Ictalurus punctatus_ACAN.OSTR","99517","1976",10,"13","99517_02","DJB KL","6/26/2024",NA,91,68,"4891","impact","impact_1974-1983","30.705","-89.84611","ACAN.OSTR",0,0.448087633622333,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"44","Ictalurus punctatus_ACAN.OSTR","105376","1977",12,"19","105376_01","JT GMC","6/25/2024",NA,45,31,"746","control","control_1974-1983","30.77861","-89.82972","ACAN.OSTR",0,-1.39375049092569,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
